pc0,pc1,pc2
-0.390119582,-0.994485438,0.33744362
1.24175274,0.666770518,1.53592336
0.564510703,1.59542549,-1.73001862
0.497128993,-2.22547603,-0.836815417
-4.15522957,-1.27251625,1.044783
-0.153415069,0.0783936009,1.02437627
-0.663814187,-1.85433924,0.938422501
-3.55149555,-0.802611828,1.57127368
-5.72542238,-2.73661685,2.39021134
3.24688411,3.08807373,-3.72397995
0.756636322,-0.796379447,-0.451427341
-3.74527574,-2.88904023,1.58828008
-0.305133671,0.242214531,-0.820043921
3.71511245,4.66431999,-1.31392467
0.716469646,-0.136002272,-0.217307106
1.13871825,-1.62635219,-1.37657595
1.24588966,0.300196677,0.47213164
-2.79967356,-2.996171,0.053571742
0.712785184,0.457495958,-0.33586514
1.21373391,-0.0309414901,-0.590211391
5.59379482,-2.42110443,0.879084945
4.13318253,2.1883707,-1.29328394
0.0674526617,-0.204999372,1.27713263
-0.0117144752,1.33493996,-2.22519207
-0.9631778,0.343858689,0.182526186
1.27167916,-0.6278193,-0.364809632
0.138448179,0.431590527,0.770118296
-0.361244887,-2.77386832,0.865098119
-2.75132537,-1.29573691,1.38504064
-3.43885946,-3.17884088,1.20055211
-1.96115291,1.38332391,0.835198581
3.37686825,2.51408291,-1.71056151
0.873004794,0.16524291,0.472753495
-1.57293963,-1.92330265,0.453742951
-0.891201198,0.970193982,-0.228643849
-2.88158321,-2.38503551,0.614017069
0.0110840341,-0.279362917,1.11980498
-2.51605415,-1.69345176,0.269277543
1.80525315,1.96941888,0.428251356
1.58402932,0.109066732,-1.38071656
-0.795654118,-2.47613597,0.683858097
1.27068198,-0.0312075187,-1.81082499
-3.80144429,-0.877205312,0.235632971
0.795804381,2.25801396,1.77019656
3.82054043,-0.493427128,0.895073175
4.64647675,3.66970396,-2.83546543
-2.31028056,-0.439163595,-0.096441187
-1.62301433,-2.04900169,0.860853076
2.49359298,3.41399193,-0.748166561
0.829038203,1.39164281,-0.172594473
-0.737995446,-1.2174238,0.409774542
-0.251424432,-4.1484437,0.166783094
-2.99135947,-0.121190198,-0.868325949
-3.88214207,-0.744912803,2.10999608
1.21564662,0.390290052,1.36972392
-1.41807652,0.0153592555,1.97418702
-5.96098089,-2.2307651,0.608564377
2.31705332,1.55931532,0.655076385
4.67515421,1.85103929,-0.0859331936
1.73086214,-3.29189563,1.49035072
2.58659172,1.15931249,-0.663661838
2.05661297,0.00828956626,0.00926971622
-1.99639106,-1.36910689,-0.438609987
-5.58760166,-0.871928632,2.16287303
6.94299364,9.80177689,-4.99387693
-0.148456275,3.64266872,-0.53057754
-4.36722374,-2.72319221,2.42261434
-0.741226435,-1.61460638,0.199946925
-0.587681115,-0.620185375,-2.74727893
1.59059179,1.5566138,-0.0574088208
0.379766166,3.41672516,-0.762770355
-0.960567296,-1.06600583,-0.969227195
2.06570554,0.774725974,0.0501890145
-0.107734449,0.906208098,-0.546440244
0.603503287,-0.326569676,-1.87760878
-3.05135417,-0.152815074,0.423649818
1.09648931,0.180590928,0.558588088
2.33021164,0.497434229,-0.484133661
-0.107766055,0.456937373,0.197457105
1.37180591,-2.04373169,1.33366764
-1.96069944,0.876740575,-0.297974885
1.35297632,0.519204915,-1.31575847
2.02675414,-0.0364853442,0.876270175
0.161948919,0.283539742,0.831231475
0.419293791,-1.21471143,-1.18927789
-1.67777765,-1.3187542,1.87224245
0.62023598,-0.58727181,1.25509095
0.05289758,-0.577582419,-0.263787121
-0.418654084,-0.891853034,0.154979765
-1.12577987,-1.45077586,0.422425002
-1.93172097,-2.10523772,1.78038943
1.72970092,0.598006785,-1.45444465
-0.18504262,0.103648201,0.346394539
-1.76392388,1.57484818,-0.179160237
1.56932831,1.57246387,-0.0419301577
-2.76788139,-2.86616707,1.01918471
-1.3923924,-1.9090482,0.225258619
-3.65425134,-1.15215957,0.528525412
-1.0081712,-0.430020481,0.826045692
-0.704048932,0.811629057,-0.379422396
3.77735162,0.438787401,0.216120034
-0.295068622,-1.12860835,-0.0206062701
-2.6931355,-0.815495968,0.364150852
-0.54926312,1.33858752,0.662077427
0.970270753,-1.28436852,1.62836242
0.543537021,0.803948283,0.71265775
1.30633187,2.77851105,-0.240256861
