h0,h1,h2
0.0205145348,0.134045616,0.0221914239
-0.0547573753,-0.0523749478,-0.119635522
0.00968075823,-0.0763387308,-0.0558230579
-0.0873689875,0.0538240932,0.0101762293
0.171020895,0.00672122417,-0.0073607224
0.016006358,-0.00623561535,-0.11991699
-0.0707413033,-0.0187445227,-0.117362097
0.0431062505,-0.0389886759,-0.0800042599
0.0558734685,0.226381958,-0.13456212
0.079942368,-0.0890241191,-0.00504148565
-0.084386453,-0.0214613881,-0.0482391827
-0.00296920608,0.0293258503,-0.157831416
0.0617701933,-0.026644282,-0.113938421
-0.0470586792,0.15824911,0.00706775999
0.189041719,0.139731988,-0.0870049819
0.0814043507,0.0804458261,-0.141077608
0.0207133386,0.0736798495,-0.0532093532
0.0545250699,0.117164403,-0.0444003157
0.104862221,0.172722653,-0.037142314
0.192765355,0.217425421,-0.0601474233
-0.113688409,-0.0336522944,-0.0415577851
0.0550403371,0.00734433718,-0.0810621008
0.0809767246,-0.169725314,-0.0355311111
-0.0407621711,-0.137514055,-0.126687989
0.187717468,0.292268127,0.0123368539
0.0880007744,0.207926169,-0.00471391762
0.192407146,0.12321046,0.0271371193
0.109694339,0.055410061,-0.0702004731
0.0273929536,-0.0765880346,-0.0352320522
-0.0974281207,-0.00826480053,-0.179450274
0.0387505218,0.154325724,-0.028472092
0.138044164,0.08782731,0.0125192795
0.089243792,-0.135059893,-0.112932697
0.080672048,0.154960603,-0.148654476
0.0470614955,-0.0737700015,-0.133625224
-0.0308570731,-0.265537322,-0.140402406
0.0227347761,-0.127657428,-0.21395278
-0.00365854288,0.192970484,-0.0840614811
0.195160732,0.176983193,0.0218493287
0.364014119,0.192931563,0.143347666
-0.0412856676,-0.285604,-0.0645982623
0.261297047,-0.172297418,0.0269801579
-0.068499811,0.16164273,-0.0175755434
0.18691051,-0.0243453141,0.028506577
-0.0751220807,0.0160634555,-0.156735167
0.277765632,-0.0515908375,-0.0958489478
0.168282852,-0.22527644,0.057995569
0.0898725167,-0.14534007,0.0882135704
-0.157397717,0.0246788431,-0.109856986
-0.0789896548,0.260583669,-0.106642537
-0.227514565,0.201761201,-0.104592659
0.230879232,0.142824546,0.0161504038
-0.0604824573,0.190422609,0.036833331
0.0597088523,0.0728964806,-0.12721464
0.101555973,0.0149971331,-0.0358174182
0.297835648,0.192145944,0.108028255
