XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
0.630326807,0.223625228,1.01628745,-0.141545877,0.258081526,0.0233991351,-0.344171643,-0.119212747,-0.603520632
0.552767694,1.71316576,0.393430352,0.979343653,2.19900537,1.77502263,1.93372083,-0.959087074,1.16279006
-0.380838364,0.337119877,-0.0804738328,-0.0741260573,-0.943091333,0.552838504,0.802964449,-0.97369796,-1.37192702
-1.62278843,-3.19111609,-0.692761242,-0.732553542,-0.859370112,1.59055257,3.16186237,-1.55594623,-1.20920515
-0.169450983,-2.60315657,2.33063483,-0.541085839,-2.29135871,1.89368784,2.52224874,0.494496673,0.816404521
0.198809668,0.418119371,1.69756341,-0.276840329,-0.889231682,0.39708823,0.727609873,-1.68754983,0.898890555
-1.58333063,-4.45639992,0.650399387,-0.00878660288,-2.47315955,0.60232079,0.678879261,-3.05118299,0.799108267
0.874295592,1.9083854,-0.899206877,0.725301743,1.64924049,-0.521192014,-0.832872808,1.512362,0.880070925
1.15549254,3.23826838,-0.848841846,0.84658438,2.00029373,0.227884471,0.27188459,1.58030009,1.43991363
0.16012463,1.26902938,0.950422287,0.575848162,1.76861417,0.0194966178,-1.08857203,2.7347393,-0.27567181
0.738076925,-0.200140044,-0.717776418,-0.20298776,1.96175802,0.557641387,0.975885808,0.104465023,-0.0571535528
-0.455477089,-0.751759827,-1.25198472,-0.858186185,-0.160800442,-0.104628526,-0.674578846,1.51743317,-0.452657372
0.158804491,0.105418794,1.70762396,0.97015667,0.0677062497,0.348653883,1.29665112,-1.56010044,0.46977362
-0.275496274,-1.56242073,1.77950895,-0.333205312,-2.43167472,0.917126834,3.46600986,-0.830955029,-0.364419848
-1.63622677,-0.829961121,1.63310909,0.186088473,-1.06245208,0.26144731,0.483984381,-0.661397278,1.16556931
-0.245124057,-1.40719402,-0.951898158,-0.792387366,-0.691110075,-0.916810572,-0.823866725,-0.512304246,-1.10435176
1.66984141,2.37174773,1.344859,0.644971073,1.68243051,1.43651462,1.51633489,0.495368749,1.20762014
-0.826183438,-0.891155958,0.046627935,-1.79170537,-1.7298516,0.298238277,-0.433116257,-0.954565823,-0.708820522
-0.612751365,0.980698407,-0.822740197,0.325684696,0.738623679,-0.022084048,0.779914141,1.21983647,0.638828278
